index,season,episode,episode_num,rank,missc,contestant,outcome,eliminated,participant,minichalw,finale,penultimate
1,S01,1,S01E1,1,0,BeBe Zahara Benet,SAFE,0,1,0,0,0
2,S01,1,S01E1,2,1,Nina Flowers,WIN,0,1,0,0,0
3,S01,1,S01E1,3,0,Rebecca Glasscock,LOW,0,1,0,0,0
4,S01,1,S01E1,4,0,Shannel,SAFE,0,1,0,0,0
5,S01,1,S01E1,5,0,Ongina,HIGH,0,1,0,0,0
6,S01,1,S01E1,6,0,Jade,SAFE,0,1,0,0,0
7,S01,1,S01E1,7,0,Akashia,BTM,0,1,0,0,0
8,S01,1,S01E1,8,0,Tammie Brown,SAFE,0,1,0,0,0
9,S01,1,S01E1,9,0,Victoria (Porkchop) Parker,BTM,1,1,0,0,0
10,S01,2,S01E2,1,0,BeBe Zahara Benet,SAFE,0,1,0,0,0
11,S01,2,S01E2,2,1,Nina Flowers,SAFE,0,1,0,0,0
12,S01,2,S01E2,3,0,Rebecca Glasscock,SAFE,0,1,0,0,0
13,S01,2,S01E2,4,0,Shannel,SAFE,0,1,0,0,0
14,S01,2,S01E2,5,0,Ongina,WIN,0,1,0,0,0
15,S01,2,S01E2,6,0,Jade,SAFE,0,1,0,0,0
16,S01,2,S01E2,7,0,Akashia,BTM,0,1,0,0,0
17,S01,2,S01E2,8,0,Tammie Brown,BTM,1,1,0,0,0
18,S01,2,S01E2,9,0,Victoria (Porkchop) Parker,NA,NA,0,NA,0,0
19,S01,3,S01E3,1,0,BeBe Zahara Benet,WIN,0,1,0,0,0
20,S01,3,S01E3,2,1,Nina Flowers,HIGH,0,1,0,0,0
21,S01,3,S01E3,3,0,Rebecca Glasscock,HIGH,0,1,0,0,0
22,S01,3,S01E3,4,0,Shannel,BTM,0,1,0,0,0
23,S01,3,S01E3,5,0,Ongina,HIGH,0,1,0,0,0
24,S01,3,S01E3,6,0,Jade,LOW,0,1,0,0,0
25,S01,3,S01E3,7,0,Akashia,BTM,1,1,0,0,0
26,S01,3,S01E3,8,0,Tammie Brown,NA,NA,0,NA,0,0
27,S01,3,S01E3,9,0,Victoria (Porkchop) Parker,NA,NA,0,NA,0,0
28,S01,4,S01E4,1,0,BeBe Zahara Benet,HIGH,0,1,0,0,0
29,S01,4,S01E4,2,1,Nina Flowers,HIGH,0,1,0,0,0
30,S01,4,S01E4,3,0,Rebecca Glasscock,BTM,0,1,0,0,0
31,S01,4,S01E4,4,0,Shannel,LOW,0,1,0,0,0
32,S01,4,S01E4,5,0,Ongina,WIN,0,1,0,0,0
33,S01,4,S01E4,6,0,Jade,BTM,0,1,1,0,0
34,S01,4,S01E4,7,0,Akashia,NA,NA,0,NA,0,0
35,S01,4,S01E4,8,0,Tammie Brown,NA,NA,0,NA,0,0
36,S01,4,S01E4,9,0,Victoria (Porkchop) Parker,NA,NA,0,NA,0,0
37,S01,5,S01E5,1,0,BeBe Zahara Benet,BTM,0,1,0,0,0
38,S01,5,S01E5,2,1,Nina Flowers,LOW,0,1,0,0,0
39,S01,5,S01E5,3,0,Rebecca Glasscock,WIN,0,1,1,0,0
40,S01,5,S01E5,4,0,Shannel,HIGH,0,1,0,0,0
41,S01,5,S01E5,5,0,Ongina,BTM,1,1,0,0,0
42,S01,5,S01E5,6,0,Jade,NA,NA,0,NA,0,0
43,S01,5,S01E5,7,0,Akashia,NA,NA,0,NA,0,0
44,S01,5,S01E5,8,0,Tammie Brown,NA,NA,0,NA,0,0
45,S01,5,S01E5,9,0,Victoria (Porkchop) Parker,NA,NA,0,NA,0,0
46,S01,6,S01E6,1,0,BeBe Zahara Benet,WIN,0,1,0,0,0
47,S01,6,S01E6,2,1,Nina Flowers,HIGH,0,1,1,0,0
