,index,season,episode,episode_num,rank,missc,contestant,outcome,eliminated,participant,minichalw,finale,penultimate
0,1,S01,1,S01E1,1.0,0.0,BeBe Zahara Benet,,0.0,1,0.0,0,0
1,2,S01,1,S01E1,2.0,1.0,Nina Flowers,,0.0,1,0.0,0,0
2,3,S01,1,S01E1,3.0,0.0,Rebecca Glasscock,,0.0,1,0.0,0,0
3,4,S01,1,S01E1,4.0,0.0,Shannel,,0.0,1,0.0,0,0
4,5,S01,1,S01E1,5.0,0.0,Ongina,,0.0,1,0.0,0,0
5,6,S01,1,S01E1,6.0,0.0,Jade,,0.0,1,0.0,0,0
6,7,S01,1,S01E1,7.0,0.0,Akashia,,0.0,1,0.0,0,0
7,8,S01,1,S01E1,8.0,0.0,Tammie Brown,,0.0,1,0.0,0,0
8,9,S01,1,S01E1,9.0,0.0,Victoria (Porkchop) Parker,,1.0,1,0.0,0,0
9,10,S01,2,S01E2,1.0,0.0,BeBe Zahara Benet,,0.0,1,0.0,0,0
10,11,S01,2,S01E2,2.0,1.0,Nina Flowers,,0.0,1,0.0,0,0
11,12,S01,2,S01E2,3.0,0.0,Rebecca Glasscock,,0.0,1,0.0,0,0
12,13,S01,2,S01E2,4.0,0.0,Shannel,,0.0,1,0.0,0,0
13,14,S01,2,S01E2,5.0,0.0,Ongina,,0.0,1,0.0,0,0
14,15,S01,2,S01E2,6.0,0.0,Jade,,0.0,1,0.0,0,0
15,16,S01,2,S01E2,7.0,0.0,Akashia,,0.0,1,0.0,0,0
16,17,S01,2,S01E2,8.0,0.0,Tammie Brown,,1.0,1,0.0,0,0
18,19,S01,3,S01E3,1.0,0.0,BeBe Zahara Benet,,0.0,1,0.0,0,0
19,20,S01,3,S01E3,2.0,1.0,Nina Flowers,,0.0,1,0.0,0,0
20,21,S01,3,S01E3,3.0,0.0,Rebecca Glasscock,,0.0,1,0.0,0,0
21,22,S01,3,S01E3,4.0,0.0,Shannel,,0.0,1,0.0,0,0
22,23,S01,3,S01E3,5.0,0.0,Ongina,,0.0,1,0.0,0,0
23,24,S01,3,S01E3,6.0,0.0,Jade,,0.0,1,0.0,0,0
24,25,S01,3,S01E3,7.0,0.0,Akashia,,1.0,1,0.0,0,0
27,28,S01,4,S01E4,1.0,0.0,BeBe Zahara Benet,,0.0,1,0.0,0,0
28,29,S01,4,S01E4,2.0,1.0,Nina Flowers,,0.0,1,0.0,0,0
29,30,S01,4,S01E4,3.0,0.0,Rebecca Glasscock,,0.0,1,0.0,0,0
30,31,S01,4,S01E4,4.0,0.0,Shannel,,0.0,1,0.0,0,0
31,32,S01,4,S01E4,5.0,0.0,Ongina,,0.0,1,0.0,0,0
32,33,S01,4,S01E4,6.0,0.0,Jade,,0.0,1,1.0,0,0
36,37,S01,5,S01E5,1.0,0.0,BeBe Zahara Benet,,0.0,1,0.0,0,0
37,38,S01,5,S01E5,2.0,1.0,Nina Flowers,,0.0,1,0.0,0,0
38,39,S01,5,S01E5,3.0,0.0,Rebecca Glasscock,,0.0,1,1.0,0,0
39,40,S01,5,S01E5,4.0,0.0,Shannel,,0.0,1,0.0,0,0
40,41,S01,5,S01E5,5.0,0.0,Ongina,,1.0,1,0.0,0,0
45,46,S01,6,S01E6,1.0,0.0,BeBe Zahara Benet,,0.0,1,0.0,0,0
46,47,S01,6,S01E6,2.0,1.0,Nina Flowers,,0.0,1,1.0,0,0
47,48,S01,6,S01E6,3.0,0.0,Rebecca Glasscock,,0.0,1,0.0,0,0
48,49,S01,6,S01E6,4.0,0.0,Shannel,,1.0,1,0.0,0,0
54,55,S01,8,S01E8,1.0,0.0,BeBe Zahara Benet,QUEEN SUPREME,0.0,1,0.0,1,0
55,56,S01,8,S01E8,2.0,1.0,Nina Flowers,FINALE,0.0,1,0.0,1,0
56,57,S01,8,S01E8,3.0,0.0,Rebecca Glasscock,ELIM,1.0,1,0.0,1,0
63,64,S02,1,S02E1,1.0,0.0,Tyra Sanchez,,0.0,1,0.0,0,0
64,65,S02,1,S02E1,2.0,0.0,Raven,,0.0,1,1.0,0,0
65,66,S02,1,S02E1,3.0,0.0,Jujubee,,0.0,1,0.0,0,0
66,67,S02,1,S02E1,4.0,0.0,Tatianna,,0.0,1,0.0,0,0
67,68,S02,1,S02E1,5.0,1.0,Pandora Boxx,,0.0,1,0.0,0,0
68,69,S02,1,S02E1,6.0,0.0,Jessica Wild,,0.0,1,0.0,0,0
69,70,S02,1,S02E1,7.0,0.0,Sahara Davenport,,0.0,1,0.0,0,0
70,71,S02,1,S02E1,8.0,0.0,Morgan McMichaels,,0.0,1,0.0,0,0
71,72,S02,1,S02E1,9.0,0.0,Sonique,,0.0,1,0.0,0,0
72,73,S02,1,S02E1,10.0,0.0,Mystique Summers Madison,,0.0,1,0.0,0,0
73,74,S02,1,S02E1,11.0,0.0,Nicole Paige Brooks,,0.0,1,0.0,0,0
74,75,S02,1,S02E1,12.0,0.0,Shangela,,1.0,1,0.0,0,0
75,76,S02,2,S02E2,1.0,0.0,Tyra Sanchez,,0.0,1,0.0,0,0
76,77,S02,2,S02E2,2.0,0.0,Raven,,0.0,1,0.0,0,0
77,78,S02,2,S02E2,3.0,0.0,Jujubee,,0.0,1,0.0,0,0
78,79,S02,2,S02E2,4.0,0.0,Tatianna,,0.0,1,0.0,0,0
79,80,S02,2,S02E2,5.0,1.0,Pandora Boxx,,0.0,1,0.0,0,0
80,81,S02,2,S02E2,6.0,0.0,Jessica Wild,,0.0,1,0.0,0,0
81,82,S02,2,S02E2,7.0,0.0,Sahara Davenport,,0.0,1,0.0,0,0
82,83,S02,2,S02E2,8.0,0.0,Morgan McMichaels,,0.0,1,0.0,0,0
83,84,S02,2,S02E2,9.0,0.0,Sonique,,0.0,1,0.0,0,0
84,85,S02,2,S02E2,10.0,0.0,Mystique Summers Madison,,0.0,1,0.0,0,0
85,86,S02,2,S02E2,11.0,0.0,Nicole Paige Brooks,,1.0,1,0.0,0,0
87,88,S02,3,S02E3,1.0,0.0,Tyra Sanchez,,0.0,1,0.0,0,0
88,89,S02,3,S02E3,2.0,0.0,Raven,,0.0,1,0.0,0,0
89,90,S02,3,S02E3,3.0,0.0,Jujubee,,0.0,1,0.0,0,0
90,91,S02,3,S02E3,4.0,0.0,Tatianna,,0.0,1,0.0,0,0
91,92,S02,3,S02E3,5.0,1.0,Pandora Boxx,,0.0,1,0.0,0,0
92,93,S02,3,S02E3,6.0,0.0,Jessica Wild,,0.0,1,0.0,0,0
93,94,S02,3,S02E3,7.0,0.0,Sahara Davenport,,0.0,1,0.0,0,0
94,95,S02,3,S02E3,8.0,0.0,Morgan McMichaels,,0.0,1,0.0,0,0
95,96,S02,3,S02E3,9.0,0.0,Sonique,,0.0,1,0.0,0,0
96,97,S02,3,S02E3,10.0,0.0,Mystique Summers Madison,,0.0,1,0.0,0,0
99,100,S02,4,S02E4,1.0,0.0,Tyra Sanchez,,0.0,1,0.0,0,0
100,101,S02,4,S02E4,2.0,0.0,Raven,,0.0,1,1.0,0,0
101,102,S02,4,S02E4,3.0,0.0,Jujubee,,0.0,1,0.0,0,0
102,103,S02,4,S02E4,4.0,0.0,Tatianna,,0.0,1,0.0,0,0
103,104,S02,4,S02E4,5.0,1.0,Pandora Boxx,,0.0,1,0.0,0,0
104,105,S02,4,S02E4,6.0,0.0,Jessica Wild,,0.0,1,0.0,0,0
105,106,S02,4,S02E4,7.0,0.0,Sahara Davenport,,0.0,1,0.0,0,0
106,107,S02,4,S02E4,8.0,0.0,Morgan McMichaels,,0.0,1,0.0,0,0
107,108,S02,4,S02E4,9.0,0.0,Sonique,,1.0,1,0.0,0,0
111,112,S02,5,S02E5,1.0,0.0,Tyra Sanchez,,0.0,1,0.0,0,0
112,113,S02,5,S02E5,2.0,0.0,Raven,,0.0,1,1.0,0,0
113,114,S02,5,S02E5,3.0,0.0,Jujubee,,0.0,1,0.0,0,0
114,115,S02,5,S02E5,4.0,0.0,Tatianna,,0.0,1,0.0,0,0
115,116,S02,5,S02E5,5.0,1.0,Pandora Boxx,,0.0,1,0.0,0,0
116,117,S02,5,S02E5,6.0,0.0,Jessica Wild,,0.0,1,0.0,0,0
117,118,S02,5,S02E5,7.0,0.0,Sahara Davenport,,0.0,1,0.0,0,0
118,119,S02,5,S02E5,8.0,0.0,Morgan McMichaels,,1.0,1,0.0,0,0
123,124,S02,6,S02E6,1.0,0.0,Tyra Sanchez,,0.0,1,0.0,0,0
124,125,S02,6,S02E6,2.0,0.0,Raven,,0.0,1,0.0,0,0
125,126,S02,6,S02E6,3.0,0.0,Jujubee,,0.0,1,0.0,0,0
126,127,S02,6,S02E6,4.0,0.0,Tatianna,,0.0,1,0.0,0,0
127,128,S02,6,S02E6,5.0,1.0,Pandora Boxx,,0.0,1,1.0,0,0
128,129,S02,6,S02E6,6.0,0.0,Jessica Wild,,0.0,1,0.0,0,0
129,130,S02,6,S02E6,7.0,0.0,Sahara Davenport,,1.0,1,0.0,0,0
135,136,S02,7,S02E7,1.0,0.0,Tyra Sanchez,,0.0,1,0.0,0,0
136,137,S02,7,S02E7,2.0,0.0,Raven,,0.0,1,0.0,0,0
137,138,S02,7,S02E7,3.0,0.0,Jujubee,,0.0,1,1.0,0,0
