,season,season_rank,queen_name,age,city,state,queen_supreme,finale,chall_wins,high,safe,low,btm,elim,sg_win,sg_high,sg_safe,sg_low,sg_btm,sg_elim,dfl_score,dfl_rank
0,S01,1,BeBe Zahara Benet,28,Minneapolis, Minnesota,1,0,2,1,2,0,1,0,0,0,0,0,0,0,38,1.0
1,S01,2,Nina Flowers,34,Bayamon, Puerto Rico,0,1,1,3,1,1,0,0,0,0,0,0,0,0,28,2.0
2,S01,3,Rebecca Glasscock,26,Fort Lauderdale, Florida,0,1,1,1,1,1,2,0,0,0,0,0,0,0,20,4.0
3,S01,4,Shannel,26,Las Vegas, Nevada,0,0,0,1,2,1,1,1,0,0,0,0,0,0,14,5.0
4,S01,5,Ongina,26,Los Angeles, California,0,0,2,2,0,0,0,1,0,0,0,0,0,0,26,3.0
5,S01,6,Jade,32,Chicago, Illinois,0,0,0,0,2,1,1,0,0,0,0,0,0,0,9,6.0
6,S01,7,Akashia,32,Cleveland, Ohio,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,8.0
7,S01,8,Tammie Brown,36,Los Angeles, California,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,7.0
8,S01,9,Victoria (Porkchop) Parker,39,Raleigh, North Carolina,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.0
9,S02,1,Tyra Sanchez,21,Orlando, Florida,1,0,3,2,2,1,0,0,0,0,1,0,0,0,55,1.0
10,S02,2,Raven,30,Riverside, California,0,1,2,3,1,0,2,0,0,0,1,0,0,0,39,2.0
11,S02,3,Jujubee,25,Boston, Massachusetts,0,1,0,2,3,0,3,0,0,0,0,1,0,0,24,6.0
12,S02,4,Tatianna,21,Falls Church, Virginia,0,0,0,1,4,1,1,1,1,0,0,0,0,0,28,3.5
13,S02,5,Pandora Boxx,37,Rochester, New York,0,0,0,3,2,1,0,1,0,1,0,0,0,0,28,3.5
14,S02,6,Jessica Wild,29,San Juan, Puerto Rico,0,0,1,2,2,0,0,1,0,0,1,0,0,0,27,5.0
15,S02,7,Sahara Davenport,25,New York, New York,0,0,1,0,1,0,2,1,0,0,1,0,0,0,16,7.0
16,S02,8,Morgan McMichaels,28,Mira Loma, California,0,0,1,0,2,0,0,1,0,0,0,0,1,0,15,8.0
17,S02,9,Sonique,26,Atlanta, Georgia,0,0,0,0,2,1,0,0,0,0,0,0,0,1,8,9.0
18,S02,10,Mystique Summers Madison,25,Chicago, Illinois,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6,10.0
19,S02,11,Nicole Paige Brooks,36,Atlanta, Georgia,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,11.0
20,S02,12,Shangela,28,Paris, Texas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.0
21,S03,1,Raja,36,Los Angeles, California,1,0,3,3,3,1,1,0,0,1,0,0,0,0,66,1.0
22,S03,2,Manila Luzon,28,Cottage Grove, Minnesota,0,1,3,4,2,1,1,0,0,0,1,0,0,0,56,2.0
23,S03,3,Alexis Mateo,30,Saint Petersburg, Florida,0,1,3,1,2,2,3,0,0,1,0,0,0,0,47,3.0
24,S03,4,Yara Sofia,26,Manati, Puerto Rico,0,0,1,4,3,1,2,0,0,0,0,1,0,0,43,4.0
25,S03,5,Carmen Carrera,25,Elmwood Park, New Jersey,0,0,0,1,2,3,1,2,0,0,1,0,0,0,21,6.0
26,S03,12,Shangela,29,Paris, Texas,0,0,2,1,2,1,2,1,0,0,1,0,0,0,34,5.0
27,S03,7,Delta Work,34,Norwalk, California,0,0,0,1,3,0,1,1,0,0,0,0,1,0,16,8.0
28,S03,8,Stacy Layne Matthews,25,Back Swamp, North Carolina,0,0,0,1,2,0,1,1,1,0,0,0,0,0,20,7.0
29,S03,9,Mariah,29,Atlanta, Georgia,0,0,0,0,2,2,0,0,0,0,0,0,0,1,10,9.0
30,S03,10,India Ferrah,23,Dayton, Ohio,0,0,0,0,2,0,1,1,0,0,0,0,0,0,7,11.0
31,S03,11,Mimi Imfurst,27,New York, New York,0,0,0,1,1,0,0,1,0,0,0,0,0,0,8,10.0
32,S03,12,Phoenix,29,Atlanta, Georgia,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,12.0
33,S03,13,Venus D-Lite,26,Los Angeles, California,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.0
34,S04,1,Sharon Needles,29,Pittsburgh, Pennsylvania,1,0,4,1,3,1,1,0,0,1,0,0,0,0,64,1.0
35,S04,2,Chad Michaels,40,San Diego, California,0,1,1,3,4,1,1,0,1,0,0,0,0,0,46,2.0
36,S04,2,Phi Phi O'Hara,25,Chicago, Illinois,0,1,2,3,3,1,1,0,0,0,0,1,0,0,45,3.0
