season,ru_rank,queen,age,dob,city,state
S01,1,BeBe Zahara Benet,28,1981-03-20,Minneapolis, Minnesota
S01,2,Nina Flowers,34,1974-02-22,Bayamon, Puerto Rico
S01,3,Rebecca Glasscock,26,1983-05-25,Fort Lauderdale, Florida
S01,4,Shannel,26,1979-07-03,Las Vegas, Nevada
S01,5,Ongina,26,1982-01-06,Los Angeles, California
S01,6,Jade,32,1984-11-18,Chicago, Illinois
S01,7,Akashia,32,1985-02-19,Cleveland, Ohio
S01,8,Tammie Brown,36,1980-09-15,Los Angeles, California
S01,9,Victoria (Porkchop) Parker,39,1969-01-16,Raleigh, North Carolina
S02,1,Tyra Sanchez,21,1988-04-22,Orlando, Florida
S02,2,Raven,30,1979-04-08,Riverside, California
S02,3,Jujubee,25,1984-06-21,Boston, Massachusetts
S02,4,Tatianna,21,1988-12-01,Falls Church, Virginia
S02,5,Pandora Boxx,37,1972-05-02,Rochester, New York
S02,6,Jessica Wild,29,1980-06-10,San Juan, Puerto Rico
S02,7,Sahara Davenport,25,1984-12-17,New York, New York
S02,8,Morgan McMichaels,28,1981-05-28,Mira Loma, California
S02,9,Sonique,26,1983-05-02,Atlanta, Georgia
S02,10,Mystique Summers Madison,25,1984-03-28,Chicago, Illinois
S02,11,Nicole Paige Brooks,36,1972-07-09,Atlanta, Georgia
S02,12,Shangela,28,1981-11-22,Paris, Texas
S03,1,Raja,36,1974-06-14,Los Angeles, California
S03,2,Manila Luzon,28,1981-08-10,Cottage Grove, Minnesota
S03,3,Alexis Mateo,30,1979-07-24,Saint Petersburg, Florida
S03,4,Yara Sofia,26,1984-05-08,Manati, Puerto Rico
S03,5,Carmen Carrera,25,1985-04-13,Elmwood Park, New Jersey
S03,12,Shangela,29,1981-11-22,Paris, Texas
S03,7,Delta Work,34,1976-01-23,Norwalk, California
S03,8,Stacy Layne Matthews,25,1984-07-19,Back Swamp, North Carolina
S03,9,Mariah,29,1982-02-13,Atlanta, Georgia
