index,season,episode,episode_num,snatch_game_episode,ru_rank,missc,queen,challenge_outcome,eliminated,participant,minichalw,finale,penultimate
1,S01,1,S01E1,0,1,0,BeBe Zahara Benet,SAFE,0,1,0,0,0
2,S01,1,S01E1,0,2,1,Nina Flowers,WIN,0,1,0,0,0
3,S01,1,S01E1,0,3,0,Rebecca Glasscock,LOW,0,1,0,0,0
4,S01,1,S01E1,0,4,0,Shannel,SAFE,0,1,0,0,0
5,S01,1,S01E1,0,5,0,Ongina,HIGH,0,1,0,0,0
6,S01,1,S01E1,0,6,0,Jade,SAFE,0,1,0,0,0
7,S01,1,S01E1,0,7,0,Akashia,BTM,0,1,0,0,0
8,S01,1,S01E1,0,8,0,Tammie Brown,SAFE,0,1,0,0,0
9,S01,1,S01E1,0,9,0,Victoria (Porkchop) Parker,ELIM,1,1,0,0,0
10,S01,2,S01E2,0,1,0,BeBe Zahara Benet,SAFE,0,1,0,0,0
11,S01,2,S01E2,0,2,1,Nina Flowers,SAFE,0,1,0,0,0
12,S01,2,S01E2,0,3,0,Rebecca Glasscock,SAFE,0,1,0,0,0
13,S01,2,S01E2,0,4,0,Shannel,SAFE,0,1,0,0,0
14,S01,2,S01E2,0,5,0,Ongina,WIN,0,1,0,0,0
15,S01,2,S01E2,0,6,0,Jade,SAFE,0,1,0,0,0
16,S01,2,S01E2,0,7,0,Akashia,BTM,0,1,0,0,0
17,S01,2,S01E2,0,8,0,Tammie Brown,ELIM,1,1,0,0,0
19,S01,3,S01E3,0,1,0,BeBe Zahara Benet,WIN,0,1,0,0,0
20,S01,3,S01E3,0,2,1,Nina Flowers,HIGH,0,1,0,0,0
21,S01,3,S01E3,0,3,0,Rebecca Glasscock,HIGH,0,1,0,0,0
22,S01,3,S01E3,0,4,0,Shannel,BTM,0,1,0,0,0
23,S01,3,S01E3,0,5,0,Ongina,HIGH,0,1,0,0,0
24,S01,3,S01E3,0,6,0,Jade,LOW,0,1,0,0,0
25,S01,3,S01E3,0,7,0,Akashia,ELIM,1,1,0,0,0
28,S01,4,S01E4,0,1,0,BeBe Zahara Benet,HIGH,0,1,0,0,0
29,S01,4,S01E4,0,2,1,Nina Flowers,HIGH,0,1,0,0,0
30,S01,4,S01E4,0,3,0,Rebecca Glasscock,BTM,0,1,0,0,0
31,S01,4,S01E4,0,4,0,Shannel,LOW,0,1,0,0,0
32,S01,4,S01E4,0,5,0,Ongina,WIN,0,1,0,0,0
33,S01,4,S01E4,0,6,0,Jade,BTM,0,1,1,0,0
37,S01,5,S01E5,0,1,0,BeBe Zahara Benet,BTM,0,1,0,0,0
38,S01,5,S01E5,0,2,1,Nina Flowers,LOW,0,1,0,0,0
39,S01,5,S01E5,0,3,0,Rebecca Glasscock,WIN,0,1,1,0,0
40,S01,5,S01E5,0,4,0,Shannel,HIGH,0,1,0,0,0
41,S01,5,S01E5,0,5,0,Ongina,ELIM,1,1,0,0,0
46,S01,6,S01E6,0,1,0,BeBe Zahara Benet,WIN,0,1,0,0,0
47,S01,6,S01E6,0,2,1,Nina Flowers,HIGH,0,1,1,0,0
48,S01,6,S01E6,0,3,0,Rebecca Glasscock,BTM,0,1,0,0,0
49,S01,6,S01E6,0,4,0,Shannel,ELIM,1,1,0,0,0
55,S01,8,S01E8,0,1,0,BeBe Zahara Benet,QUEEN SUPREME,0,1,0,1,0
56,S01,8,S01E8,0,2,1,Nina Flowers,FINALE,0,1,0,1,0
